family,model,penalty,C,train_accuracy,val_accuracy,train_auroc,val_auroc,test_accuracy,test_auroc,n_estimators,max_depth,input_dim,hidden_dim,num_layers,bidirectional,dropout,epochs_trained
logistic_l2,logistic_l2,l2,1.0,0.987719298245614,0.6687211093990755,0.9995397662929415,0.6601398440023999,0.6844660194174758,0.6480731529314119,,,,,,,,
logistic_l1,logistic_l1,l1,1.0,0.8929824561403509,0.7026194144838213,0.9588138574268543,0.6955623759634467,0.6893203883495146,0.6787681916400738,,,,,,,,
random_forest,random_forest,,,1.0,0.7380585516178737,1.0,0.7633497946185444,0.7896440129449838,0.757301698601909,200.0,16.0,,,,,,
lstm,lstm,,,0.7768421052631579,0.7288135593220338,0.7749635409604817,0.7448654636082521,0.7880258899676376,0.7418468539374079,,,76.0,64.0,1.0,True,0.2,10.0
